_id;artist;fame;popularity
1;AC/DC;0,55;0,32
2;Aerosmith;0,93;0,69
3;Al Green;0,73;0,48
4;Aretha Franklin;0,39;0,22
5;Bee Gees;0,68;0,46
6;Ben E. King;0,68;0,46
7;Bill Haley and His Comets;0,68;0,46
8;Billy Joel;0,91;0,68
9;Bob Dylan;0,49;0,24
10;Bob Marley & The Wailers;0,49;0,24
11;Boston;0,76;0,54
12;Bruce Springsteen;0,91;0,62
13;Buddy Holly;0,87;0,63
14;Buffalo Springfield;0,64;0,42
15;Carl Perkins;0,64;0,42
16;Carpenters;0,64;0,42
17;Chubby Checker;0,79;0,54
18;Chuck Berry;0,83;0,61
19;Cream;0,67;0,45
20;Creedence Clearwater Revival;0,82;0,61
21;Crosby, Stills & Nash;0,78;0,54
22;David Bowie;0,83;0,53
23;Derek & The Dominos;0,72;0,41
24;Don McLean;0,70;0,47
25;Eddie Cochran;0,70;0,47
26;Elton John;0,74;0,51
27;Elvis Presley;0,96;0,69
28;James Brown;0,67;0,43
29;James Taylor;0,67;0,43
30;Jefferson Airplane;0,80;0,56
31;Jerry Lee Lewis;0,81;0,49
32;Jimi Hendrix;0,93;0,66
33;John Lennon;0,95;0,67
34;Led Zeppelin;0,64;0,37
35;Little Richard;0,86;0,41
36;Lynyrd Skynyrd;0,84;0,56
37;Marvin Gaye;0,62;0,39
38;Michael Jackson;0,88;0,52
39;Nirvana;0,44;0,26
40;Otis Redding;0,44;0,26
41;Patsy Cline;0,80;0,58
42;Prince;0,47;0,29
43;Queen;0,92;0,71
44;Ray Charles;0,78;0,47
45;Ritchie Valens;0,87;0,59
46;Rod Stewart;0,89;0,61
47;Roy Orbison;0,77;0,56
48;Simon & Garfunkel;0,77;0,56
49;Steppenwolf;0,61;0,40
50;Stevie Wonder;0,85;0,55
51;The Beach Boys;0,59;0,36
52;The Beatles;0,97;0,74
53;The Clash;0,78;0,54
54;The Doors;0,88;0,63
55;The Eagles;0,88;0,67
56;The Kingsmen;0,83;0,58
57;The Kinks;0,83;0,58
58;The Mamas & the Papas;0,80;0,58
59;The Police;0,62;0,36
60;The Rolling Stones;0,95;0,70
61;The Spencer Davis Group;0,95;0,70
62;The Temptations;0,95;0,70
63;The Troggs;0,95;0,70
64;The Who;0,84;0,59
65;Van Halen;0,84;0,63
66;Van Morrison;0,84;0,63
67;Wilson Pickett;0,79;0,52
